0	{value1} chord fingerings{value2}
1	. Drag left or right with the mouse
2	Applying {value1} theme
3	Applying the {value1} theme.
4	Choose a category first
5	{value1} category
6	Manage saved progressions
7	{value1} selected
8	Edit progressions
9	Select all
10	Deselect all
11	Delete selected
12	Done
13	Edit saved progressions
14	Saved progressions
15	Edit
16	Select progressions to delete
17	Tap an item to apply
18	Manage progression
19	Unlock
20	Lock
21	Protect from deletion
22	Delete {value1}
23	Unlock before deleting
24	Delete custom preset
25	Select for deletion
26	Unlock before selecting
27	Include in selection
28	Fine-tune BPM
29	Increase BPM by 1
30	Increase BPM by 10
31	Decrease BPM by 10
32	Decrease BPM by 1
33	Quick BPM presets
34	Quick
35	Accent
36	Accent {value1}
37	Count-in {value1}
38	Repeat
39	Repeat {value1}
40	Expand
41	Collapse
42	Meter
43	Beat 1 sound
44	First beat sound
45	Subdivision
46	Other beat sound
47	Remaining beats sound
48	Sound
49	Expanded
50	{value1} metronome progress
51	 progress
52	{value1} beat dots
53	Beat {value1} {value2}
54	Beat {value1}: {value2}
55	Settings 
56	Current note display {value1}
57	Off
58	On
59	Progression
60	Playing pattern
61	Pattern {value1} X2
62	Pattern {value1} {value2}
63	Change to ghost strum
64	Change to sounding strum
65	Start {value1} practice
66	Selected
67	Select
68	Beat {value1} {value2}, tap to cycle
69	{value1} beat display. Swipe left or right to change the display mode only
70	More metronome options
71	Toggle beat dots
72	Toggle vertical rhythm bar
73	Toggle accent flash
74	Enter bar count
75	Delete {value1} selected Mini Chord items?
76	Delete “{value1}”?
77	Selected Mini Chord items
78	This will remove them from your saved items. This cannot be undone.
79	Cancel
80	Delete
81	My Mini Chords
82	” — save this progression?
83	The current chord progression and settings will be added to your saved items.
84	Save
85	Save title
86	Enter a title for this progression.
87	Title
88	Chord progression title
89	Leave blank to use the chord progression shown as the placeholder.
90	Deleted progressions and edited fretboards cannot be restored.
91	Reset all
92	Reset Mini Chord
93	Clear chords and structure/symbols
94	Choose what to reset
95	Close Mini Chord reset
96	Clear all chords, repeats, endings, and navigation symbols.
97	BPM, transposition, arrangement settings, and saved Mini Chord songs are kept. Use Undo to restore this change.
98	Reset chords
99	Clear chords, keep structure/symbols
100	Reset structure/symbols
101	Clear repeats, endings, and navigation symbols only
102	Close
103	Edit {value1} beat
104	Beat {value1}
105	Beat
106	Rest
107	Detailed horizontal editor · 16 steps · 1 e & a / 2 e & a / 3 e & a / 4 e & a
108	Basic vertical editor · 4 steps per beat
109	Back to basic vertical editor
110	Vertical
111	Open detailed horizontal editor
112	Expand to landscape view
113	Close pattern editor
114	Stop the backing track before previewing
115	■ Stop
116	▶ Preview
117	Save pattern
118	Apply to section
119	Apply
120	Custom rhythms
121	Shared custom rhythms
122	Close custom rhythms
123	Edit and preview each custom pattern. Selecting a pattern here does not change the current backing rhythm.
124	Edit selected {value1} {value2} pattern
125	Edit selected {value1} pattern
126	Edit selection
127	Reset {value1} rhythm settings
128	Reset
129	Select {value1} {value2} to edit
130	Customized
131	Modified
132	Preview {value1} only
133	Stop
134	Preview all
135	Restore all defaults
136	Reset all rhythm settings
137	Reset {value1} settings
138	Restore all custom drum, bass, and piano rhythms to FRETIVA LAB defaults.
139	Reset {value1} rhythm settings to defaults?
140	Saved custom settings cannot be restored.
141	Section arrangement
142	Bar
143	Close arrangement settings
144	Section type
145	Section name
146	Start bar
147	Section start bar
148	End bar
149	Section end bar
150	Select {value1} arrangement
151	Edit selected {value1} pattern
152	Stop the backing track before previewing
153	Section BPM
154	Delete section
155	Decrease BPM
156	Increase BPM
157	{value1} structure
158	FRETIVA LAB is a 
159	guitar practice app
160	 with a tuner, fretboard, rhythm exercises, études, score library, backing tracks, and recording tools.
161	Start with tuning, the fretboard, and the metronome
162	Check your tuning
163	Practice with the fretboard
164	Add a metronome or backing track
165	Start with these steps, then explore chord changes, Mini Backing, and the Note Shooter game.
166	Enjoy your practice. 🎸
167	Main navigation
168	On desktop, open any screen from the left sidebar. On mobile, use the bottom navigation and 
169	Menu
170	.
171	Main navigation guide
172	🎵 Tuner
173	Choose an instrument and tuning
174	🗺️ Fretboard
175	Explore notes, chords, and scales
176	⏱️ Metronome
177	Manage tempo and practice time
178	👾 Note Shooter
179	Hit targets with your guitar
180	🧭 Menu
181	Practice · Backing · Editing · Settings
182	Mobile and desktop layouts may differ, but 
183	practice data and features work the same way
184	.
185	Open-string and lower-fret notes
186	 are shown on the reference fretboard for you to play along.
187	Single-note practice steps
188	Open Single Notes
189	Check the reference fretboard
190	Set BPM and play
191	Repeat the displayed notes and positions slowly. This mode does not score your playing through the microphone.
192	Major and minor 
193	scales and pentatonics
194	 can be practiced using the reference fretboard.
195	Scale and pentatonic practice steps
196	Choose a key
197	Choose a scale and type
198	Choose BOX 1–5
199	Follow the fretboard
200	Set the BPM and metronome, then repeat. You can also use 
201	 to import or record a backing track. This mode uses a reference fretboard without automatic scoring.
202	Follow your chord progression on screen and on the reference fretboard, changing chords in time.
203	Rhythm & Chords steps
204	Open LOAD
205	Choose chords and fingerings
206	Add with a beat length
207	Save and START
208	Add the selected chord for 
209	1, 2, or 4 beats
210	, or choose 
211	1-beat rest
212	 to insert a rest.
213	Edit note positions on the mini fretboard in LOAD before adding a chord. 
214	Your edited fingering is saved with the progression
215	.
216	Save with a title to recall it from Custom Progressions. You can also choose a recommended progression.
217	On mobile, open 
218	Menu → Score Practice
219	; on desktop, use the left sidebar. The 
220	Études
221	 tab shows built-in practice pieces; 
222	My Scores
223	 shows your saved scores.
224	Étude practice steps
225	Open Études
226	Choose a category and piece
227	Set BPM
228	Play along
229	Choose a practice category
230	 and use Previous/Next to switch pieces. Open 
231	TIP · Practice Guide
232	 for goals, preparation, and practice steps.
233	Follow the notation, TAB, and playhead at a slow tempo. 
234	Auto-follow
235	 offers Line, Bar, or Off. The 
236	Rhythm progress bar
237	 can be toggled separately.
238	Open your edited scores from 
239	Saved Scores
240	 to practice again. Score playback does not score your performance through the microphone.
241	Score Practice → My Scores
242	 holds PDFs and your edited scores. Search by title or artist, sort the list, and open a score to practice.
243	Store PDF scores
244	Save a PDF score
245	Import PDF
246	Check file and song details
247	Open from the list
248	PDF tools include margin cropping, text notes, bar markers, and practice loops. Printed notes and bars are not analyzed automatically, and PDFs are not automatically converted to editable TAB.
249	Create and reopen an editable score
250	Create Score
251	 lets you enter notes, rests, and bars and check them with playback. Choose 
252	 to set the title, artist, BPM, and other details before saving.
253	Reopen saved scores in 
254	 to practice or edit. To keep the original, choose 
255	Save As · Copy
256	.
257	In the editor, use 
258	File → Export Score JSON
259	 to keep an editable backup. To restore it, open 
260	Create Score → File → Import…
261	, select the file, and save.
262	Export PDF · Print
263	 uses the print dialog to save a PDF. Keep a JSON backup as well if you want to edit the notes later.
264	Local storage and backups
265	Scores are 
266	stored in this browser on this device
267	 and do not sync automatically. Use 
268	Back Up PDF Library / Restore PDF Backup
269	 to transfer originals, notes, margins, and practice settings. Export edited scores separately as JSON.
270	Export Original PDF
271	 does not include margin cropping or notes. Save your scores and backup files before clearing browser data.
272	Place chords into bars to create a backing track with 
273	drums, bass, and piano
274	.
275	Mini Backing steps
276	Choose the bar count
277	Enter chords
278	Set BPM and rhythm
279	Play and save
280	Use transposition, repeats, endings, and 
281	 to set different patterns for each section. Save with a title to reopen from Load.
282	Set BPM directly or use 
283	 to tap the tempo, then choose the meter, subdivision, and sound and press play.
284	Metronome steps
285	Set BPM or TAP
286	Choose meter and subdivision
287	Tap a beat indicator to cycle through 
288	accented, normal, and silent
289	 beats.
290	 raises or lowers BPM in steps at bar or time intervals. Coach Mode alternates audible and silent bars.
291	 counts bars or time, with options to stop or reset when you reach your target.
292	Use the 
293	 player below to hear a backing track alongside the click.
294	Backing Loop steps
295	Open Playlist
296	Add app or device files
297	Choose playback mode
298	Use Previous, Play, Next, and 
299	Repeat All, Repeat One, or Shuffle
300	. Record with REC, trim with EDIT, and store with SAVE.
301	Audio Studio steps
302	Open the studio
303	Add audio
304	TRIM · Position · Volume
305	Save a mix
306	Import one or more files into tracks, trim and adjust tempo, position waveforms, and set volume or mute. Listen to the mix, then save a 
307	finished WAV file
308	.
309	This pitch-recognition game asks you to 
310	play the target note on your guitar
311	 to hit the approaching notes.
312	Note Shooter steps
313	Allow microphone access
314	Check the target note
315	Play it on your guitar
316	Play one clear note at a time. When a pick from the guitar hits a neon note, it bursts into light.
317	Tap the difficulty button
318	 to open practice settings below it. Choose Easy, Normal, Hard, or a random mode, then tap Done. Settings cannot be changed during a game.
319	Fall speed
320	 offers 0.75×, 1×, 1.25×, and 1.5×. It changes how fast notes descend while keeping spawn intervals unchanged.
321	Notes show their name and octave. C–B each have a fixed neon color. You can switch note-name and solfège displays.
322	Change Skin
323	 lets you choose a guitar, effect, pet, map, and pick. All targets use the shared neon design.
324	The default map on first launch is 
325	Moonlit Rooftop
326	. The left column lists Moonlit Rooftop, Blue Ocean, Aurora Glacier, Above the Clouds, Milky Way Desert, and Firefly Forest. Your saved map selection is kept.
327	Choose a background and hints, then take your time learning the target notes.
328	Choose guitar, bass, or ukulele
329	, then select its tuning.
330	Tuner steps
331	Choose instrument
332	Choose tuning
333	Play one string at a time
334	 automatically detects the note you play. Tap a string on the headstock to switch to 
335	 mode for that string; tap again to return to AUTO.
336	Watch the gauge's 
337	Flat / Sharp
338	 direction and cents offset, then aim for the centered 
339	In Tune
340	 indicator.
341	Allow microphone access in your browser the first time. If blocked, update the site's permissions in the address bar and start the microphone again.
342	Notes, Chords, and Scales/Pentatonics
343	 tabs help you explore fretboard positions.
344	Fretboard steps
345	Choose a tab
346	Set a note, chord, or key
347	Check fretboard positions
348	Compare chord fingerings and the chord chart, or explore scales by changing the key, type, and box.
349	Metronome
350	 volume and the shared Rhythm & Chords / Mini Backing parts — 
351	 — have on/off, volume, and default rhythm controls.
352	Metronome volume is shared by the standalone metronome and Score Practice. Sound settings stay shared across different screen layouts.
353	FRETIVA LAB 
354	requires no account or payment.
355	Practice history, imported audio, and recordings are 
356	stored only in this browser on this device
357	 and are not sent to the developer.
358	The microphone is used only for tuning, guitar pitch detection, and recordings you start yourself.
359	Clearing browser data, freeing storage, or changing devices can remove local data. Export or back up important audio and scores separately.
360	Only import audio you have permission to use.
361	Contact and feedback
362	Bar {value1}, {value2} chord settings
363	Chord input drag handle
364	Drag to move chord input
365	bar · 
366	Chord settings
367	Select two split beats
368	Selected chord {value1}
369	Merge these two 1-beat cells into 2 beats
370	Split this 2-beat cell into 1-beat cells
371	Merge into 2 beats using the selected chord
372	Split into 1 + 1 beats
373	Close chord settings
374	Root
375	Choose chord root
376	Accidental
377	Choose accidental
378	Type
379	Choose chord type
380	Extension
381	Choose chord extension
382	Apply to both beats
383	Set rest
384	Load saved chord progression
385	Select custom progression
386	Saved progression actions
387	Rhythm & Chords metronome sound {value1}
388	Metronome
389	Voice-leading course
390	Voice leading
391	Course {value1}
392	Choose course
393	Practice progression
394	Choose recommended or custom progression
395	Choose progression
396	Recommended progressions
397	No saved custom progressions
398	Custom progressions
399	Choose collection
400	Progression list
401	Beat-dot metronome
402	Close menu
403	Theme settings
404	Theme
405	Choose display colors
406	More features
407	🎵 Score Practice
408	Notation · TAB · Phrase practice
409	Single Notes
410	Learn note positions from C through three-chord practice
411	Scales · Pentatonics
412	Positions · Phrase practice
413	Rhythm & Chords
414	Practice chord changes with a metronome
415	Mini Backing
416	Build chord progressions and backing tracks
417	Audio Studio
418	Sound & Rhythm
419	Metronome, backing tracks, and shared rhythms
420	{value1} volume
421	Reset sound
422	Guide & Help
423	Practice features and instructions
424	Refresh
425	Reload this screen
426	Contact
427	App {value1}
428	Close user guide
429	User Guide & Help
430	Screen guides and practice workflows
431	Tuner
432	Fretboard
433	Note Shooter
434	Open menu
435	Preparing Score Practice…
436	Fretboard
437	Mini Chord backing mode
438	Processing
439	Mini Chord backing
440	bars / Total 
441	Preparing
442	Start
443	Mini Chord save tools
444	LOAD Library
445	Name, load, or save your progression
446	Enter title
447	Load Mini Chord backing
448	Load
449	Bar and page selection
450	Editable · Save as your own copy
451	Quick bar count
452	Remove one bar
453	Add one bar
454	Mini Chord history and reset
455	Undo
456	Redo
457	Manage {value1}
458	Manage section arrangements
459	Bars {value1}–{value2} · Set, duplicate, move, or delete
460	{value1} sections · Reuse saved patterns.
461	Close section manager
462	Open {value1}, bars {value2}–{value3} settings
463	Duplicate
464	Range
465	+ Add section
466	{value1} · Bars {value2}–{value3}
467	Duplicate section
468	Section: bars {value1}–{value2}
469	Create a new section using the same pattern?
470	Change the range while keeping the section and pattern?
471	Set the section and pattern for the selected range?
472	Duplicate settings
473	Change range
474	Section settings
475	Mini Chord transposition and arrangement
476	Transpose by semitones
477	Transpose down a semitone
478	Transpose up a semitone
479	Transpose all
480	Return to original key {value1}
481	Original key {value1}
482	Key
483	Section arrangement settings
484	Arrangement selected, {value1} ranges
485	Manage arrangement, {value1} sections
486	Set first section
487	Arrangement selected
488	Arrangement
489	Chord timeline, bars {value1}–{value2}
490	Play from bar {value1}
491	Select arrangement range at bar {value1}
492	Manage {value1}, bars {value2}–{value3}
493	{value1} · {value2} · Bars {value3}–{value4}
494	Bar {value1} repeat start: {value2}
495	Clear
496	Settings
497	Bar {value1} start repeat
498	Bar {value1} repeat end: {value2}
499	Bar {value1} end repeat
500	Set leading repeat symbol at bar {value1}
501	Bar {value1} symbols
502	Ending {value1}, bars {value2}–{value3}
503	Bar {value1} navigation symbols
504	{value1} section configured
505	Bar {value1} repeat command{value2}
506	Bar {value1} symbol warning: {value2}
507	Set bar {value1} symbols
508	Symbol settings
509	Close symbol settings
510	Ending
511	Set repeat ending number
512	Ending {value1}: {value2}
513	Adjacent bars with the same number form one ending range
514	Set position marker
515	Set jump command
516	Remove bar {value1} symbols
517	Remove symbols
518	Bar {value1}, beat {value2} chord settings
519	{value1} · Beat {value2}
520	First beat
521	Second beat
522	{value1} · 2 beats
523	Navigate bar pages
524	Previous page: bars {value1}–{value2}
525	Next page: bars {value1}–{value2}
526	Mini Chord metronome
527	Tap tempo, playback, count-in
528	Mini Chord BPM, tap tempo, playback, count-in
529	Mini Chord BPM and backing playback
530	Start Mini Chord backing
531	Stop Mini Chord backing
532	Tap to set Mini Chord BPM
533	Previous 
534	Next 
535	FRETIVA LAB UI Lab
536	A FRETIVA LAB workspace for creating, registering, comparing, and choosing designs
537	Current header preview
538	Live header: {value1}
539	Live app icon: {value1}
540	Metronome Visual Lab: preview only
541	Design archive; not applied to the live app
542	Live
543	{value1} size previews
544	FRETIVA LAB guitar design guidelines
545	Realistic proportions based on front views of Martin, Gibson, Taylor, and Yamaha guitars
546	Designs: 
547	 · Archived: 
548	 items
549	Delete all
550	View archive
551	Acoustic guitar pack: {value1} designs
552	Classical guitar pack: {value1} designs
553	Electric guitar pack: {value1} designs
554	No candidate selected
555	 — save
556	Square SVG candidates combine R with picks, frets, headstocks, and practice symbols. The existing V11 badge and logo are managed separately.
557	Short impact sounds for breaking targets. Candidate A is currently the game default.
558	Compare visuals with the same BPM and audio without applying them to the metronome screen.
559	Play preview
560	Discarded designs 🗑️
561	Restore deleted items or delete them permanently here.
562	Empty trash
563	Restore
564	Delete permanently
565	Archived
566	{value1} archive preview
567	Fretboard view
568	Chords
569	Notes
570	Scales
571	Pentatonics
572	All fretboard notes
573	Reference fretboard
574	 · Swipe
575	↔ Swipe
576	View all
577	Play {value1} {value2}
578	Original recording
579	Current fingering
580	Play chord
581	Note positions
582	Scale positions
583	Reference fretboard
584	Standard omitted-tone voicing · Omitted: 
585	Degree {value1} ({value2})
586	Full chord tones: 
587	{value1} {value2}. Swipe to change position
588	Type
589	Chord builder
590	Convert
591	Guitar audio · BiblicalBricksProductions · CC BY 3.0
592	Basic major chords C–B use original recordings; their voicings may differ from the displayed positions. Other chords are synthesized from the current fingering.
593	 · Original file kept · Lead-in skipped during playback
594	Chord chart
595	Chord fingering guide
596	All chord fingerings
597	Tap a chord to enlarge
598	↔ Swipe to browse chords
599	Standalone metronome
600	Advanced metronome status and settings
